nome,fórmula,cor,classificação,dureza,brilho,fratura,hábito,densidade,magnetismo,diafaneidade,sistema cristalino,clivagem
Pirita,FeS2,Dourado; Preto,Sulfeto,6.0-6.5,Metálico,Irregular,Cúbico,5,Não,Opaco,Isométrico,Imperfeita
Galena,PbS,Cinza,Sulfeto,2.5,Metálico,Clivagem Cúbica,Cúbico,7.4,Não,Opaco,Isométrico,Perfeita
Anfibólio,"(Ca2)(Mg,Fe)5Si8O22(OH)2",Verde; Branco; Cinza,Inossilicato,5.0-6.0,Vítreo,Conchoidal,Fibras Longas e Sedosas,2.99-3.03,Não,Transparente; Translúcido,Monoclínico,Prismática
Gipsita,CaSO4*2H2O,Vermelho; Marrom; Branco,Sulfato,1.5-2.0,Nacarado; Subvítreo; Vítreo,Conchoidal; Estilhaçada,Fibroso; Radial; Agregados Fibrosos,2.31-2.32,Não,Transparente; Translúcido,Monoclínico,Perfeita; Imperfeita
Magnetita,Fe3O4,Preto,Óxido,5.5-6.5,Metálico,Irregular,Granular,5.2,Forte,Opaco; Translúcido,Isométrico,Ausente
Granada,"(Fe,Mg,Ca,Mn)3Al2(SiO4)3",Vermelho; Verde; Marrom,Nessossilicato,6.5-7.5,Resinoso; Vítreo,Conchoidal,Granular; Compacto; Grãos Arredondados,3.4-4.3,Não,Semitransparente; Transparente,Isométrico,Ausente
Cromita,FeCr2O4,Preto; Cinza Amarelado; Preto Amarronzado,Óxido,5.5,Metálico,Irregular,Granular; Compacto; Maciço,4.5-5.09,Fraco,Opaco; Translúcido,Isométrico,Ausente
Bauxita,,Amarelo avermelhado,Óxido,1.0-3.0,Terroso,Irregular,Granular; Maciço; Pulvurulento,2.5-2.6,Não,Translúcido,Monoclínico,Ausente
Cassiderita,SnO2,Vermelho; Marrom; Branco,Óxido,6.0-7.0,Metálico; Adamantino; Gorduroso,Irregular; Subconchoidal,Maciço,6.98-7.01,Não,Opaco; Transparente,Tetragonal,Imperfeita; Indistinta
Olivina,,Verde oliva;  Preto; castanho,Nessossilicato,6.5-7.0,Resinoso; Gorduroso; Vítreo,Conchoidal; Irregular,Maciço,3.22-4.39,Não,Transparente; Translúcido,Ortorrômbico,Imperfeita
Hematita,,Cinza; Preto; Cinza Aço,Óxido,5.0-6.0,Metálico; Fosco; Submetálico,Irregular; Subconchoidal,Maciço,5.20-5.26,Fraco,Opaco; Transparente,Romboédrico,Ausente
Espodumênio,,Verde; Branco; Amarelo,Inossilicato,6.5-7.0,Nacarado; Vítreo,Irregular; Subconchoidal,Maciço,3.03-3.23,Não,Transparente; Translúcido,Monoclínico,Boa; Perfeita
Calcopirita,CuFeS₂,Amarelo Latão,Sulfeto,3.5-4.0,Metálico,Irregular,Maciço; Botroidal,4.1-4.3,Não,Opaco,Tetragonal,Fraca
Ilemenita,FeTiO₃,Marrom escuro; Preto,Óxido,5.0-6.0,Metálico; Submetálico,Conchoidal; Subconchoidal,Maciço; Compacto,4.1-4.9,Moderado,Opaco; Translúcido,Romboédrico,Ausente
Córidon,Al₂O₃,Laranja; Vermelho; Azul Claro,Óxido,9,Adamantinado; Nacarado; Vítreo,Conchoidal; Irregular,Maciço; Grãos Dispersos,3.98-4.10,Não,Transparente; Translúcido,Romboédrico,Ausente
Fluorita,CaF₂,Laranja; Vermelho; Azul Claro,Haleto,4,Fosco; Vítreo,Irregular; Subconchoidal,Maciço; Nodular; Botroidal,3.17-3.56,Não,Transparente; Translúcido,Isométrico,Perfeita
Pirolusita,MnO2,Cinza Escuro; Preto; Cinza Aço,Óxido,6.0-6.5,Metálico,Irregular,Maciço; Reniforme Botroidal,4.7-5.19,Fraco,Opaco,Tetragonal,Perfeita
Esfalerita,ZnS,Verde; marom; Branco,Sulfeto,3.5-4.0,Adamantinado; Resinoso,Conchoidal; Irregular,Massas de Granulação Grossa ou Fina,3.9-4.1,Não,Opaco; Transparente; Translúcido,Isométrico,Perfeita
Molibdenita,MoS2,Cinza  escuro; Cinza Azulado; Preto,Sulfeto,1.0-1.5,Metálico,Irregular,Massas Foliadas; Massas Escamas; Maciço,4.62-4.80,Não,Opaco; Translúcido,Hexagonal,Perfeita
Ouro,Au,Branco; Prata; Amarelo claro,Elemento nativo,2.5-3.0,Metálico,Serrilhada,Massas Irregulares; Massas Dentríticas,19.3,Não,Opaco,Isométrico,Ausente
Clorita,"(Mg,Fe)3(Si,Al)4O10(OH)2 . nH2O",Vermelho; Verde; Branco,Filossilicato,2.0-3.0,Nacarado; Vítreo,Irregular; Escamosa,Micáceo; Laminar; Foliar,2.6-3,Não,Opaco; Semitransparente; Transparente,Monoclínico,Perfeita
Quartzo,SiO2,Incolor; Violeta,Tectossilicato,7,Vítreo,Conchoidal,Prismático,2.65,Não,Opaco; Transparente,Romboédrico,Ausente
Topázio,"Al2SiO4(F,OH)2",Laranja; Vermelho; Azul Claro,Nessossilicato,8,Vítreo,Irregular; Conchoidal,Prismático,3.5-3.6,Não,Opaco; Transparente,Ortorrômbico,Perfeita
Turmalina,"(Na,Ca)(Mg,Fe,Al,Li)3Al6(BO3)3Si6O18(OH)4",Vermelho; Azul; Verde,Ciclossilicato,7.0-7.5,Resinoso; Vítreo,Conchoidal; Irregular,Prismático,2.90-3.41,Não,Transparente; Translúcido,Romboédrico,Ausente
Cianita,Al2SiO5,Azul; Verde; Branco,Inossilicato,4.5-7.0,Nacarado; Vítreo,Cristais Colunares; Achatados; Longos; Tabulares,Prismático Alongado,3.53-3.65,Não,Transparente; Translúcido,Triclínico,Perfeita; Boa
Berilo,,Branco; Amarelo; Azul Claro,Ciclossilicato,7.5-8.0,Resinoso; Vítreo,Conchoidal; Irregular,Prismáticos; Colunares,2.63-2.97,Não,Transparente; Translúcido,Hexagonal,Imperfeita
Calcita,CaCO3,Incolor; Branco,Carbonato,3,Vítreo,Conchoidal,Romboédrico,2.7,Não,Opaco; Transparente,Romboédrico,Perfeita
Dolomita,CaMg(CO3)2,Rosa; Incolor; Branco,Carbonato,3.5-4.0,Vítreo,Subconchoidal,Sela; Colunares; Granulares,2.86-3.36,Não,Transparente,Romboédrico,Romboédrica Perfeita
Epidoto,"Ca2(Al,Fe)3(SiO4)3(OH)",Verde; Amarelo,Sorosilicato,6.0-7.0,Nacarado; Resinoso; Vítreo,Irregular,Tabular; Prismático,3.35-3.50,Não,Opaco; Translúcido,Monoclínico,Perfeita; Imperfeita
